zone,damping_percent,method,T_s,Sa_g,source_standard,source_section,source_table,source_page_pdf,source_standard_page
1,2.5,Equivalent Static,0.01,0.451,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
1,2.5,Equivalent Static,0.2,0.451,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
1,2.5,Equivalent Static,0.5,0.451,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
1,2.5,Equivalent Static,1.0,0.233,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
1,2.5,Equivalent Static,2.0,0.11,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
1,2.5,Equivalent Static,3.0,0.053,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
1,2.5,Equivalent Static,4.0,0.042,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
1,2.5,Equivalent Static,5.0,0.031,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
1,2.5,Equivalent Static,6.0,0.029,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,0.01,0.439,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,0.2,0.439,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,0.5,0.439,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,1.0,0.249,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,2.0,0.196,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,3.0,0.108,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,4.0,0.058,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,5.0,0.038,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
2,2.5,Equivalent Static,6.0,0.03,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,0.01,0.32,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,0.2,0.32,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,0.5,0.32,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,1.0,0.353,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,2.0,0.217,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,3.0,0.109,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,4.0,0.064,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,5.0,0.044,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
3,2.5,Equivalent Static,6.0,0.034,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
4,2.5,Equivalent Static,0.01,0.33,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
4,2.5,Equivalent Static,0.2,0.33,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
4,2.5,Equivalent Static,0.5,0.33,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
4,2.5,Equivalent Static,1.0,0.264,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
4,2.5,Equivalent Static,2.0,0.218,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-4,46,32
