soil_class,Ss_anchor_g,Fa,source_table,source_page_pdf,source_standard_page
A,0.25,0.8,Table 1.4-2,37,23
A,0.5,0.8,Table 1.4-2,37,23
A,0.75,0.8,Table 1.4-2,37,23
A,1.0,0.8,Table 1.4-2,37,23
A,1.25,0.8,Table 1.4-2,37,23
B,0.25,1.0,Table 1.4-2,37,23
B,0.5,1.0,Table 1.4-2,37,23
B,0.75,1.0,Table 1.4-2,37,23
B,1.0,1.0,Table 1.4-2,37,23
B,1.25,1.0,Table 1.4-2,37,23
C,0.25,1.2,Table 1.4-2,37,23
C,0.5,1.2,Table 1.4-2,37,23
C,0.75,1.1,Table 1.4-2,37,23
C,1.0,1.0,Table 1.4-2,37,23
C,1.25,1.0,Table 1.4-2,37,23
D,0.25,1.6,Table 1.4-2,37,23
D,0.5,1.4,Table 1.4-2,37,23
D,0.75,1.2,Table 1.4-2,37,23
D,1.0,1.1,Table 1.4-2,37,23
D,1.25,1.0,Table 1.4-2,37,23
E,0.25,2.5,Table 1.4-2,37,23
E,0.5,1.7,Table 1.4-2,37,23
E,0.75,1.2,Table 1.4-2,37,23
E,1.0,0.9,Table 1.4-2,37,23
E,1.25,0.9,Table 1.4-2,37,23
F,site_specific,site_specific,Table 1.4-2,37,23
