province_th,district_th,province_key,district_key,Ss,S1,region,source_standard,source_section,source_table,source_page_pdf,source_standard_page,source_note
กระบี่,เกาะลันตา,กระบี่,เกาะลันตา,0.143,0.089,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กระบี่,เขาพนม,กระบี่,เขาพนม,0.227,0.108,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กระบี่,คลองท่อม,กระบี่,คลองท่อม,0.147,0.129,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กระบี่,ปลายพระยา,กระบี่,ปลายพระยา,0.263,0.1,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กระบี่,เมืองกระบี่,กระบี่,เมืองกระบี่,0.218,0.105,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กระบี่,ลำทับ,กระบี่,ลำทับ,0.158,0.09,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กระบี่,เหนือคลอง,กระบี่,เหนือคลอง,0.195,0.088,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กระบี่,อ่าวลึก,กระบี่,อ่าวลึก,0.267,0.11,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กาญจนบุรี,ด่านมะขามเตี้ย,กาญจนบุรี,ด่านมะขามเตี้ย,0.862,0.316,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กาญจนบุรี,ทองผาภูมิ,กาญจนบุรี,ทองผาภูมิ,0.728,0.2,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
กาญจนบุรี,ท่าม่วง,กาญจนบุรี,ท่าม่วง,0.802,0.275,General Thailand,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.1,Table 1.4-1,26,12,Extracted from uploaded DPT standard Table 1.4-1; Bangkok Basin areas route to the separate zone workflow where applicable.
